dataset_id,observacao_id,longitude_grau,latitude_grau,ano,camada_id,profundidade_inicial_cm,profundidade_final_cm,fracao_grossa_gkg,fracao_argila_gkg,fracao_silte_gkg,fracao_areia_gkg
ctb0080,C1(RQo),-55.4140230710341,-16.3147240332846,2008,1,0,20,125,69,30,901
ctb0080,C1(Soja),-55.3718518326732,-16.2425040718857,2008,1,0,20,102,505,154,341
ctb0080,C2(Brizantao),-55.4102950080365,-16.3058756801576,2010,1,0,20,131,114,33,853
ctb0080,C2(Cambarazal),-56.2839052228438,-16.5520985747826,2010,1,0,20,150,362,349,289
ctb0080,C2(Espinhal),-56.2920268772373,-16.5198192115449,2011,1,0,20,104,621,296,83
ctb0080,C2(LVd),-55.3139779665713,-16.1363553762388,2010,1,0,20,124,428,113,459
ctb0080,C2(RQo),-55.4138774942025,-16.3142078174114,2011,1,0,20,126,109,31,860
ctb0080,C2(Soja),-55.3713770084354,-16.2422293144024,2009,1,0,20,95,526,166,308
ctb0080,C2+(Brizantao),-55.4099685632921,-16.3069034738286,2009,1,0,20,118,131,33,836
ctb0080,C2+(Cambarazal),-56.2832877176383,-16.5518162340486,2008,1,0,20,136,311,417,272
ctb0080,C2+(Espinhal),-56.2909976956454,-16.5193908710962,2008,1,0,20,106,591,293,116
ctb0080,C2+(LVd),-55.3144559316322,-16.1373261216383,2010,1,0,20,118,408,116,476
ctb0080,C2+(RQo),-55.4145360641644,-16.3149357373824,2009,1,0,20,122,114,30,856
ctb0080,C2+(Soja),-55.3719316378204,-16.243037876671,2011,1,0,20,91,559,167,274
ctb0080,C31(Brizantao),-55.4104820045107,-16.3058951597698,2011,1,0,20,118,104,27,869
ctb0080,C31(Cambarazal),-56.2840368636868,-16.5519815133976,2009,1,0,20,161,208,267,525
ctb0080,C31(Espinhal),-56.2922144485576,-16.5197746487428,2011,1,0,20,114,567,350,83
ctb0080,C31(LVd),-55.3141376586701,-16.1362662669033,2008,1,0,20,126,451,133,416
ctb0080,C31(RQo),-55.4137381493738,-16.3140802504928,2010,1,0,20,123,69,34,897
ctb0080,C31(Soja),-55.3713316498184,-16.2420572603038,2011,1,0,20,94,555,171,274
ctb0080,C31+(Brizantao),-55.4101269065532,-16.3069950364914,2010,1,0,20,134,131,33,836
ctb0080,C31+(Cambarazal),-56.2831663523485,-16.5516892654071,2008,1,0,20,152,228,417,355
ctb0080,C31+(Espinhal),-56.29102646745,-16.519210179016,2010,1,0,20,120,521,363,116
ctb0080,C31+(LVd),-55.3144450558222,-16.1375067777005,2011,1,0,20,117,451,133,416
ctb0080,C31+(RQo),-55.4145281600026,-16.3147549328326,2008,1,0,20,126,76,34,890
ctb0080,C31+(Soja),-55.3721006036436,-16.2429668752985,2010,1,0,20,99,492,167,341
ctb0080,C32(Brizantao),-55.4101650281167,-16.3057481818095,2008,1,0,20,131,101,30,869
ctb0080,C32(Cambarazal),-56.2840547713769,-16.5522075607542,2009,1,0,20,127,249,346,405
ctb0080,C32(Espinhal),-56.2919887689219,-16.5199908327101,2011,1,0,20,114,601,350,49
ctb0080,C32(LVd),-55.3137998059884,-16.1364172282187,2010,1,0,20,123,467,117,416
ctb0080,C32(RQo),-55.414007481693,-16.3143353140683,2008,1,0,20,126,109,30,861
ctb0080,C32(Soja),-55.3712542186371,-16.2423729668449,2009,1,0,20,93,542,167,291
ctb0080,C32+(Brizantao),-55.4098458276783,-16.3070381100581,2009,1,0,20,118,134,30,836
ctb0080,C32+(Cambarazal),-56.2831095520547,-16.5518427408855,2008,1,0,20,154,211,367,422
ctb0080,C32+(Espinhal),-56.290856711517,-16.5195079065354,2011,1,0,20,121,534,367,99
ctb0080,C32+(LVd),-55.3146249731545,-16.1372370858458,2009,1,0,20,117,445,130,425
ctb0080,C32+(RQo),-55.4147038460709,-16.3150183307328,2009,1,0,20,120,114,33,853
ctb0080,C32+(Soja),-55.3718648233325,-16.2432000331159,2009,1,0,20,100,505,154,341
ctb0080,C41(Brizantao),-55.4104912888071,-16.3059042667847,2008,1,0,20,119,101,30,869
ctb0080,C41(Cambarazal),-56.2840555739633,-16.5519906169758,2008,1,0,20,140,175,166,659
ctb0080,C41(Espinhal),-56.2922143825745,-16.5197927274801,2009,1,0,20,103,567,350,83
ctb0080,C41(LVd),-55.3141562797745,-16.1362754511089,2009,1,0,20,125,438,113,449
ctb0080,C41(RQo),-55.4137194343661,-16.3140801101018,2011,1,0,20,124,114,33,853
ctb0080,C41(Soja),-55.3713504319792,-16.2420483672501,2010,1,0,20,97,583,176,241
ctb0080,C41+(Brizantao),-55.4101081194095,-16.3070039325458,2010,1,0,20,130,104,27,869
ctb0080,C41+(Cambarazal),-56.283166419312,-16.5516711867618,2008,1,0,20,138,241,267,492
ctb0080,C41+(Espinhal),-56.2910265335414,-16.5191921002825,2010,1,0,20,109,551,366,83
ctb0080,C41+(LVd),-55.3144356306788,-16.1375157403477,2011,1,0,20,116,417,134,449
ctb0080,C41+(RQo),-55.4145188751328,-16.3147458259502,2008,1,0,20,126,114,33,853
ctb0080,C41+(Soja),-55.3721098091549,-16.2429850202278,2010,1,0,20,92,549,177,274
ctb0080,C42(Brizantao),-55.4104915072357,-16.3058771566561,2010,1,0,20,129,108,37,855
ctb0080,C42(Cambarazal),-56.2840275252703,-16.5519724419458,2009,1,0,20,139,191,167,642
ctb0080,C42(Espinhal),-56.2922145145406,-16.5197565700055,2009,1,0,20,115,584,317,99
ctb0080,C42(LVd),-55.3141284626585,-16.1362481200575,2009,1,0,20,125,451,116,433
ctb0080,C42(RQo),-55.4137476522795,-16.3140622472544,2009,1,0,20,121,114,30,856
ctb0080,C42(Soja),-55.371313016199,-16.2420480801714,2010,1,0,20,89,588,171,241
ctb0080,C42+(Brizantao),-55.410145620865,-16.3069951771423,2008,1,0,20,131,108,30,862
ctb0080,C42+(Cambarazal),-56.2831569470236,-16.5516982725635,2011,1,0,20,155,252,393,355
ctb0080,C42+(Espinhal),-56.2910170310711,-16.5192282259992,2009,1,0,20,115,567,334,99
ctb0080,C42+(LVd),-55.314454557316,-16.1374887785573,2009,1,0,20,116,431,120,449
ctb0080,C42+(RQo),-55.414518657125,-16.3147729361083,2010,1,0,20,119,66,37,897
ctb0080,C42+(Soja),-55.372110106115,-16.2429488738481,2010,1,0,20,92,555,171,274
ctb0080,C43(Brizantao),-55.4101745308607,-16.3057301787118,2011,1,0,20,126,101,30,869
ctb0080,C43(Cambarazal),-56.2840453660654,-16.5522165679509,2008,1,0,20,133,245,333,422
ctb0080,C43(Espinhal),-56.2919980732438,-16.5200089431542,2011,1,0,20,119,584,333,83
ctb0080,C43(LVd),-55.3137906100034,-16.136399081361,2010,1,0,20,123,467,117,416
ctb0080,C43(RQo),-55.4140169845899,-16.3143173108172,2011,1,0,20,125,134,34,832
ctb0080,C43(Soja),-55.3712450132294,-16.242354821887,2011,1,0,20,95,526,166,308
ctb0080,C43+(Brizantao),-55.4098366162107,-16.307019966308,2010,1,0,20,119,104,34,862
ctb0080,C43+(Cambarazal),-56.2830908753259,-16.5518245979023,2011,1,0,20,150,211,334,455
ctb0080,C43+(Espinhal),-56.2908379709161,-16.5195078430183,2010,1,0,20,102,584,333,83
ctb0080,C43+(LVd),-55.3146342455919,-16.1372461961808,2008,1,0,20,112,451,116,433
ctb0080,C43+(RQo),-55.4147037007466,-16.3150364041726,2008,1,0,20,124,94,30,876
ctb0080,C43+(Soja),-55.3718460410773,-16.2432089262066,2010,1,0,20,99,492,167,341
ctb0080,C44(Brizantao),-55.4101462410969,-16.3057570778787,2009,1,0,20,119,108,26,866
ctb0080,C44(Cambarazal),-56.2840735485567,-16.5521985856834,2011,1,0,20,132,245,350,405
ctb0080,C44(Espinhal),-56.2920075095742,-16.5199908961258,2010,1,0,20,107,601,333,66
